country;continent;year;life_exp;pop;gdp_per_cap;Unnamed: 6;grupo
Angola;Africa;2002.0;41.0;10866106.0;2773.0;2873.0;Medio
Angola;Africa;2007.0;43.0;12420476.0;4797.0;2313.0;Medio
Argentina;Americas;1952.0;62.0;17876956.0;5911.0;3151.0;Medio
Argentina;Americas;1957.0;64.0;19610538.0;6856.0;8562.0;Medio
Argentina;Americas;1962.0;65.0;21283783.0;7133.0;1660.0;Alto
Argentina;Americas;1967.0;66.0;22934225.0;8052.0;9530.0;Alto
Argentina;Americas;1972.0;67.0;24779799.0;9443.0;385.0;Alto
Argentina;Americas;1977.0;68.0;26983828.0;10079.0;267.0;Alto
Argentina;Americas;1982.0;70.0;29341374.0;8997.0;8974.0;Alto
Argentina;Americas;1992.0;72.0;33958947.0;9308.0;4187.0;Alto
Argentina;Americas;1997.0;73.0;36203463.0;10967.0;2820.0;Alto
Argentina;Americas;2002.0;74.0;38331121.0;8797.0;6407.0;Alto
Argentina;Americas;2007.0;75.0;40301927.0;12779.0;3796.0;Alto
Australia;Oceania;1952.0;69.0;8691212.0;10039.0;5956.0;Alto
Australia;Oceania;1957.0;70.0;9712569.0;10949.0;6496.0;Alto
Australia;Oceania;1962.0;71.0;10794968.0;12217.0;2269.0;Alto
Australia;Oceania;1967.0;71.0;11872264.0;14526.0;1247.0;Alto
Australia;Oceania;1972.0;72.0;13177000.0;16788.0;6295.0;Alto
Australia;Oceania;1977.0;73.0;14074100.0;18334.0;1975.0;Alto
Australia;Oceania;1982.0;75.0;15184200.0;19477.0;93.0;Alto
Australia;Oceania;1987.0;76.0;16257249.0;21888.0;8890.0;Alto
Australia;Oceania;1992.0;78.0;17481977.0;23424.0;7668.0;Alto
Australia;Oceania;1997.0;79.0;18565243.0;26997.0;9366.0;Alto
Australia;Oceania;2002.0;80.0;19546792.0;30687.0;7547.0;Alto
Australia;Oceania;2007.0;81.0;20434176.0;34435.0;3674.0;Alto
Austria;Europe;1952.0;67.0;6927772.0;6137.0;765.0;Medio
Austria;Europe;1957.0;67.0;6965860.0;8842.0;5980.0;Alto
Austria;Europe;1962.0;70.0;7129864.0;10750.0;7211.0;Alto
Austria;Europe;1967.0;70.0;7376998.0;12834.0;6024.0;Alto
Austria;Europe;1972.0;71.0;7544201.0;16661.0;6256.0;Alto
Austria;Europe;1977.0;72.0;7568430.0;19749.0;4223.0;Alto
Austria;Europe;1982.0;73.0;7574613.0;21597.0;836.0;Alto
Austria;Europe;1987.0;75.0;7578903.0;23687.0;8261.0;Alto
Austria;Europe;1992.0;76.0;7914969.0;27042.0;187.0;Alto
Austria;Europe;1997.0;78.0;8069876.0;29095.0;9207.0;Alto
Austria;Europe;2002.0;79.0;8148312.0;32417.0;6077.0;Alto
Austria;Europe;2007.0;80.0;8199783.0;36126.0;4927.0;Alto
Bahrain;Asia;1982.0;69.0;377967.0;19211.0;1473.0;Alto
Bahrain;Asia;1987.0;71.0;454612.0;18524.0;241.0;Alto
Bahrain;Asia;1992.0;73.0;529491.0;19035.0;5792.0;Alto
Bahrain;Asia;1997.0;74.0;598561.0;20292.0;168.0;Alto
Bahrain;Asia;2002.0;75.0;656397.0;23403.0;5593.0;Alto
Bahrain;Asia;2007.0;76.0;708573.0;29796.0;483.0;Alto
Bangladesh;Asia;1952.0;37.0;46886859.0;684.0;2442.0;Bajo
Bangladesh;Asia;1957.0;39.0;51365468.0;661.0;6375.0;Bajo
Bangladesh;Asia;1972.0;45.0;70759295.0;630.0;2336.0;Bajo
Bangladesh;Asia;1977.0;47.0;80428306.0;659.0;8772.0;Bajo
Bangladesh;Asia;1982.0;50.0;93074406.0;676.0;9819.0;Bajo
Bangladesh;Asia;1987.0;53.0;103764241.0;751.0;9794.0;Bajo
Bangladesh;Asia;1997.0;59.0;123315288.0;972.0;7700.0;Bajo
Bangladesh;Asia;2002.0;62.0;135656790.0;1136.0;3904.0;Bajo
Bangladesh;Asia;2007.0;64.0;150448339.0;1391.0;2538.0;Bajo
Belgium;Europe;1952.0;68.0;8730405.0;8343.0;1051.0;Alto
Belgium;Europe;1957.0;69.0;8989111.0;9714.0;9606.0;Alto
Belgium;Europe;1962.0;70.0;9218400.0;10991.0;2068.0;Alto
Belgium;Europe;1967.0;71.0;9556500.0;13149.0;412.0;Alto
Belgium;Europe;1972.0;71.0;9709100.0;16672.0;1436.0;Alto
Belgium;Europe;1977.0;73.0;9821800.0;19117.0;9745.0;Alto
Belgium;Europe;1982.0;74.0;9856303.0;20979.0;8459.0;Alto
Belgium;Europe;1987.0;75.0;9870200.0;22525.0;5631.0;Alto
Belgium;Europe;1992.0;76.0;10045622.0;25575.0;5707.0;Alto
Belgium;Europe;1997.0;78.0;10199787.0;27561.0;1966.0;Alto
Belgium;Europe;2002.0;78.0;10311970.0;30485.0;8838.0;Alto
Belgium;Europe;2007.0;79.0;10392226.0;33692.0;6051.0;Alto
Benin;Africa;1952.0;38.0;1738315.0;1062.0;7522.0;Bajo
Benin;Africa;1957.0;40.0;1925173.0;959.0;6011.0;Bajo
Benin;Africa;1962.0;43.0;2151895.0;949.0;4991.0;Bajo
Benin;Africa;1967.0;45.0;2427334.0;1035.0;8314.0;Bajo
Benin;Africa;1972.0;47.0;2761407.0;1085.0;7969.0;Bajo
Benin;Africa;1977.0;49.0;3168267.0;1029.0;1613.0;Bajo
Benin;Africa;1982.0;51.0;3641603.0;1277.0;8976.0;Bajo
Benin;Africa;1987.0;52.0;4243788.0;1225.0;8560.0;Bajo
Benin;Africa;1992.0;54.0;4981671.0;1191.0;2077.0;Bajo
Benin;Africa;1997.0;55.0;6066080.0;1232.0;9753.0;Bajo
Benin;Africa;2002.0;54.0;7026113.0;1372.0;8779.0;Bajo
Benin;Africa;2007.0;57.0;8078314.0;1441.0;2849.0;Bajo
Bolivia;Americas;1952.0;40.0;2883315.0;2677.0;3263.0;Medio
Bolivia;Americas;1957.0;42.0;3211738.0;2127.0;6863.0;Medio
Bolivia;Americas;1962.0;43.0;3593918.0;2180.0;9725.0;Medio
Bolivia;Americas;1967.0;45.0;4040665.0;2586.0;8861.0;Medio
Bolivia;Americas;1972.0;47.0;4565872.0;2980.0;3313.0;Medio
Bolivia;Americas;1977.0;50.0;5079716.0;3548.0;978.0;Medio
Bolivia;Americas;1982.0;54.0;5642224.0;3156.0;5105.0;Medio
Bolivia;Americas;1987.0;57.0;6156369.0;2753.0;6915.0;Medio
Bolivia;Americas;1992.0;60.0;6893451.0;2961.0;6997.0;Medio
Bolivia;Americas;1997.0;62.0;7693188.0;3326.0;1432.0;Medio
Bolivia;Americas;2002.0;64.0;8445134.0;3413.0;2627.0;Medio
Bolivia;Americas;2007.0;66.0;9119152.0;3822.0;1371.0;Medio
Bosnia and Herzegovina;Europe;1952.0;54.0;2791000.0;973.0;5332.0;Bajo
Bosnia and Herzegovina;Europe;1957.0;58.0;3076000.0;1353.0;9892.0;Bajo
Bosnia and Herzegovina;Europe;1962.0;62.0;3349000.0;1709.0;6837.0;Medio
Bosnia and Herzegovina;Europe;1967.0;65.0;3585000.0;2172.0;3524.0;Medio
Bosnia and Herzegovina;Europe;1972.0;67.0;3819000.0;2860.0;1698.0;Medio
Bosnia and Herzegovina;Europe;1977.0;70.0;4086000.0;3528.0;4813.0;Medio
Bosnia and Herzegovina;Europe;1982.0;71.0;4172693.0;4126.0;6132.0;Medio
Bosnia and Herzegovina;Europe;1987.0;71.0;4338977.0;4314.0;1148.0;Medio
Bosnia and Herzegovina;Europe;1992.0;72.0;4256013.0;2546.0;7814.0;Medio
Bosnia and Herzegovina;Europe;1997.0;73.0;3607000.0;4766.0;3559.0;Medio
Bosnia and Herzegovina;Europe;2002.0;74.0;4165416.0;6018.0;9752.0;Medio
Bosnia and Herzegovina;Europe;2007.0;75.0;4552198.0;7446.0;2988.0;Alto
Botswana;Africa;1952.0;48.0;442308.0;851.0;2411.0;Bajo
Botswana;Africa;1957.0;50.0;474639.0;918.0;2325.0;Bajo
Botswana;Africa;1962.0;52.0;512764.0;983.0;6540.0;Bajo
Botswana;Africa;1967.0;53.0;553541.0;1214.0;7093.0;Bajo
Botswana;Africa;1972.0;56.0;619351.0;2263.0;6111.0;Medio
Botswana;Africa;1977.0;59.0;781472.0;3214.0;8578.0;Medio
Botswana;Africa;1982.0;61.0;970347.0;4551.0;1422.0;Medio
Brazil;Americas;1977.0;61.0;114313951.0;6660.0;1187.0;Medio
Brazil;Americas;1982.0;63.0;128962939.0;7030.0;8359.0;Alto
Brazil;Americas;1987.0;65.0;142938076.0;7807.0;958.0;Alto
Brazil;Americas;1992.0;67.0;155975974.0;6950.0;2830.0;Alto
Brazil;Americas;1997.0;69.0;168546719.0;7957.0;9808.0;Alto
Brazil;Americas;2002.0;71.0;179914212.0;8131.0;2128.0;Alto
Brazil;Americas;2007.0;72.0;190010647.0;9065.0;8008.0;Alto
Bulgaria;Europe;1952.0;60.0;7274900.0;2444.0;2866.0;Medio
Bulgaria;Europe;1957.0;67.0;7651254.0;3008.0;6707.0;Medio
Bulgaria;Europe;1962.0;70.0;8012946.0;4254.0;3378.0;Medio
Bulgaria;Europe;1967.0;70.0;8310226.0;5577.0;28.0;Medio
Bulgaria;Europe;1972.0;71.0;8576200.0;6597.0;4944.0;Medio
Bulgaria;Europe;1977.0;71.0;8797022.0;7612.0;2404.0;Alto
Bulgaria;Europe;1982.0;71.0;8892098.0;8224.0;1916.0;Alto
Bulgaria;Europe;1987.0;71.0;8971958.0;8239.0;8548.0;Alto
Bulgaria;Europe;1992.0;71.0;8658506.0;6302.0;6234.0;Medio
Bulgaria;Europe;1997.0;70.0;8066057.0;5970.0;3888.0;Medio
Bulgaria;Europe;2002.0;72.0;7661799.0;7696.0;7777.0;Alto
Bulgaria;Europe;2007.0;73.0;7322858.0;10680.0;7928.0;Alto
Burkina Faso;Africa;1952.0;32.0;4469979.0;543.0;2552.0;Bajo
Burkina Faso;Africa;1957.0;35.0;4713416.0;617.0;1835.0;Bajo
Burkina Faso;Africa;1962.0;38.0;4919632.0;722.0;5120.0;Bajo
Burkina Faso;Africa;1967.0;41.0;5127935.0;794.0;8266.0;Bajo
Burkina Faso;Africa;1972.0;44.0;5433886.0;854.0;7360.0;Bajo
Burkina Faso;Africa;1977.0;46.0;5889574.0;743.0;3870.0;Bajo
Burkina Faso;Africa;1982.0;48.0;6634596.0;807.0;1986.0;Bajo
Burkina Faso;Africa;1987.0;50.0;7586551.0;912.0;631.0;Bajo
Burkina Faso;Africa;1992.0;50.0;8878303.0;931.0;7528.0;Bajo
Burkina Faso;Africa;1997.0;50.0;10352843.0;946.0;2950.0;Bajo
Burkina Faso;Africa;2002.0;51.0;12251209.0;1037.0;6452.0;Bajo
Burkina Faso;Africa;2007.0;52.0;14326203.0;1217.0;330.0;Bajo
Burundi;Africa;1952.0;39.0;2445618.0;339.0;2965.0;Bajo
Burundi;Africa;1957.0;41.0;2667518.0;379.0;5646.0;Bajo
Burundi;Africa;1962.0;42.0;2961915.0;355.0;2032.0;Bajo
Burundi;Africa;1967.0;44.0;3330989.0;412.0;9775.0;Bajo
Burundi;Africa;1972.0;44.0;3529983.0;464.0;995.0;Bajo
Burundi;Africa;1977.0;46.0;3834415.0;556.0;1033.0;Bajo
Burundi;Africa;1982.0;47.0;4580410.0;559.0;6032.0;Bajo
Burundi;Africa;1987.0;48.0;5126023.0;621.0;8188.0;Bajo
Burundi;Africa;1992.0;45.0;5809236.0;631.0;6999.0;Bajo
Burundi;Africa;1997.0;45.0;6121610.0;463.0;1151.0;Bajo
Burundi;Africa;2002.0;47.0;7021078.0;446.0;4035.0;Bajo
Burundi;Africa;2007.0;50.0;8390505.0;430.0;707.0;Bajo
Cambodia;Asia;1952.0;39.0;4693836.0;368.0;4693.0;Bajo
Cambodia;Asia;1957.0;41.0;5322536.0;434.0;383.0;Bajo
Cambodia;Asia;1962.0;43.0;6083619.0;496.0;9136.0;Bajo
Cambodia;Asia;1967.0;45.0;6960067.0;523.0;4323.0;Bajo
Cambodia;Asia;1972.0;40.0;7450606.0;421.0;6240.0;Bajo
Cambodia;Asia;1977.0;31.0;6978607.0;524.0;9722.0;Bajo
Cambodia;Asia;1982.0;51.0;7272485.0;624.0;4755.0;Bajo
Cambodia;Asia;1987.0;54.0;8371791.0;683.0;8956.0;Bajo
Cambodia;Asia;1992.0;56.0;10150094.0;682.0;3032.0;Bajo
Cambodia;Asia;1997.0;57.0;11782962.0;734.0;2852.0;Bajo
Cambodia;Asia;2002.0;57.0;12926707.0;896.0;2260.0;Bajo
Cambodia;Asia;2007.0;60.0;14131858.0;1713.0;7787.0;Medio
Cameroon;Africa;1952.0;39.0;5009067.0;1172.0;6677.0;Bajo
Cameroon;Africa;1957.0;40.0;5359923.0;1313.0;481.0;Bajo
Cameroon;Africa;1962.0;43.0;5793633.0;1399.0;6074.0;Bajo
Cameroon;Africa;1967.0;45.0;6335506.0;1508.0;4531.0;Bajo
Cameroon;Africa;1972.0;47.0;7021028.0;1684.0;1465.0;Medio
Cameroon;Africa;1977.0;49.0;7959865.0;1783.0;4329.0;Medio
Cameroon;Africa;1982.0;53.0;9250831.0;2367.0;9833.0;Medio
Cameroon;Africa;1987.0;55.0;10780667.0;2602.0;6642.0;Medio
Cameroon;Africa;1992.0;54.0;12467171.0;1793.0;1633.0;Medio
Cameroon;Africa;1997.0;52.0;14195809.0;1694.0;3375.0;Medio
Cameroon;Africa;2002.0;50.0;15929988.0;1934.0;114.0;Medio
Cameroon;Africa;2007.0;50.0;17696293.0;2042.0;952.0;Medio
Canada;Americas;1952.0;69.0;14785584.0;11367.0;1611.0;Alto
Canada;Americas;1957.0;70.0;17010154.0;12489.0;9501.0;Alto
Canada;Americas;1962.0;71.0;18985849.0;13462.0;4856.0;Alto
Canada;Americas;1967.0;72.0;20819767.0;16076.0;5880.0;Alto
Canada;Americas;1972.0;73.0;22284500.0;18970.0;5709.0;Alto
Canada;Americas;1977.0;74.0;23796400.0;22090.0;8831.0;Alto
Canada;Americas;1982.0;76.0;25201900.0;22898.0;7921.0;Alto
Canada;Americas;1987.0;77.0;26549700.0;26626.0;5150.0;Alto
Canada;Americas;1992.0;78.0;28523502.0;26342.0;8843.0;Alto
Canada;Americas;1997.0;79.0;30305843.0;28954.0;9259.0;Alto
Canada;Americas;2002.0;80.0;31902268.0;33328.0;9651.0;Alto
Canada;Americas;2007.0;81.0;33390141.0;36319.0;2350.0;Alto
Central African Republic;Africa;1952.0;35.0;1291695.0;1071.0;3107.0;Bajo
Central African Republic;Africa;1957.0;37.0;1392284.0;1190.0;8443.0;Bajo
Central African Republic;Africa;1962.0;39.0;1523478.0;1193.0;688.0;Bajo
Central African Republic;Africa;1967.0;41.0;1733638.0;1136.0;566.0;Bajo
Central African Republic;Africa;1972.0;43.0;1927260.0;1070.0;133.0;Bajo
Central African Republic;Africa;1977.0;47.0;2167533.0;1109.0;3743.0;Bajo
Central African Republic;Africa;1982.0;48.0;2476971.0;956.0;7530.0;Bajo
Central African Republic;Africa;1987.0;50.0;2840009.0;844.0;8764.0;Bajo
Central African Republic;Africa;1992.0;49.0;3265124.0;747.0;9055.0;Bajo
Central African Republic;Africa;1997.0;46.0;3696513.0;740.0;5063.0;Bajo
Central African Republic;Africa;2002.0;43.0;4048013.0;738.0;6906.0;Bajo
Central African Republic;Africa;2007.0;45.0;4369038.0;706.0;165.0;Bajo
Chad;Africa;1952.0;38.0;2682462.0;1178.0;6659.0;Bajo
Chad;Africa;1957.0;40.0;2894855.0;1308.0;4956.0;Bajo
Chad;Africa;1962.0;42.0;3150417.0;1389.0;8176.0;Bajo
Chad;Africa;1967.0;44.0;3495967.0;1196.0;8106.0;Bajo
Chad;Africa;1972.0;46.0;3899068.0;1104.0;1040.0;Bajo
Chad;Africa;1977.0;47.0;4388260.0;1133.0;9850.0;Bajo
Chad;Africa;1982.0;50.0;4875118.0;797.0;9081.0;Bajo
Chad;Africa;1987.0;51.0;5498955.0;952.0;3861.0;Bajo
Chad;Africa;1992.0;52.0;6429417.0;1058.0;643.0;Bajo
Chad;Africa;1997.0;52.0;7562011.0;1004.0;9614.0;Bajo
Chad;Africa;2002.0;51.0;8835739.0;1156.0;1819.0;Bajo
Chad;Africa;2007.0;51.0;10238807.0;1704.0;637.0;Medio
Chile;Americas;1952.0;55.0;6377619.0;3939.0;9788.0;Medio
Chile;Americas;1957.0;56.0;7048426.0;4315.0;6227.0;Medio
Chile;Americas;1962.0;58.0;7961258.0;4519.0;943.0;Medio
Chile;Americas;1967.0;61.0;8858908.0;5106.0;6543.0;Medio
Chile;Americas;1972.0;63.0;9717524.0;5494.0;244.0;Medio
Chile;Americas;1977.0;67.0;10599793.0;4756.0;7638.0;Medio
Chile;Americas;1982.0;71.0;11487112.0;5095.0;6657.0;Medio
Chile;Americas;1987.0;72.0;12463354.0;5547.0;638.0;Medio
Chile;Americas;1992.0;74.0;13572994.0;7596.0;1260.0;Alto
Chile;Americas;1997.0;76.0;14599929.0;10118.0;532.0;Alto
Chile;Americas;2002.0;78.0;15497046.0;10778.0;7839.0;Alto
Chile;Americas;2007.0;79.0;16284741.0;13171.0;6389.0;Alto
China;Asia;1952.0;44.0;556263527.0;400.0;4486.0;Bajo
China;Asia;1957.0;51.0;637408000.0;575.0;9870.0;Bajo
China;Asia;1962.0;45.0;665770000.0;487.0;6740.0;Bajo
China;Asia;1967.0;58.0;754550000.0;612.0;7057.0;Bajo
China;Asia;1972.0;63.0;862030000.0;676.0;9001.0;Bajo
China;Asia;1977.0;64.0;943455000.0;741.0;2375.0;Bajo
China;Asia;1982.0;66.0;1000281000.0;962.0;4214.0;Bajo
China;Asia;1987.0;67.0;1084035000.0;1378.0;9040.0;Bajo
China;Asia;1992.0;69.0;1164970000.0;1655.0;7842.0;Bajo
China;Asia;1997.0;70.0;1230075000.0;2289.0;2341.0;Medio
China;Asia;2002.0;72.0;1280400000.0;3119.0;2809.0;Medio
China;Asia;2007.0;73.0;1318683096.0;4959.0;1149.0;Medio
Colombia;Americas;1952.0;51.0;12350771.0;2144.0;1151.0;Medio
Colombia;Americas;1957.0;55.0;14485993.0;2323.0;8056.0;Medio
Colombia;Americas;1962.0;58.0;17009885.0;2492.0;3511.0;Medio
Colombia;Americas;1967.0;60.0;19764027.0;2678.0;7298.0;Medio
Colombia;Americas;1972.0;62.0;22542890.0;3264.0;6600.0;Medio
Colombia;Americas;1977.0;64.0;25094412.0;3815.0;8079.0;Medio
Colombia;Americas;1982.0;67.0;27764644.0;4397.0;5757.0;Medio
Colombia;Americas;1987.0;68.0;30964245.0;4903.0;2191.0;Medio
Colombia;Americas;1992.0;68.0;34202721.0;5444.0;6486.0;Medio
Colombia;Americas;1997.0;70.0;37657830.0;6117.0;3617.0;Medio
Colombia;Americas;2002.0;72.0;41008227.0;5755.0;2600.0;Medio
Colombia;Americas;2007.0;73.0;44227550.0;7006.0;5804.0;Alto
Comoros;Africa;1952.0;41.0;153936.0;1102.0;9909.0;Bajo
Comoros;Africa;1957.0;42.0;170928.0;1211.0;1485.0;Bajo
Comoros;Africa;1962.0;44.0;191689.0;1406.0;6483.0;Bajo
Comoros;Africa;1967.0;46.0;217378.0;1876.0;296.0;Medio
Comoros;Africa;1972.0;49.0;250027.0;1937.0;5777.0;Medio
Comoros;Africa;1977.0;51.0;304739.0;1172.0;6030.0;Bajo
Comoros;Africa;1982.0;53.0;348643.0;1267.0;1001.0;Bajo
Comoros;Africa;1987.0;55.0;395114.0;1315.0;9808.0;Bajo
Comoros;Africa;1992.0;58.0;454429.0;1246.0;9074.0;Bajo
Comoros;Africa;1997.0;61.0;527982.0;1173.0;6182.0;Bajo
Comoros;Africa;2002.0;63.0;614382.0;1075.0;8116.0;Bajo
Comoros;Africa;2007.0;65.0;710960.0;986.0;1479.0;Bajo
Costa Rica;Americas;1952.0;57.0;926317.0;2627.0;95.0;Medio
Costa Rica;Americas;1957.0;60.0;1112300.0;2990.0;108.0;Medio
Costa Rica;Americas;1962.0;63.0;1345187.0;3460.0;9370.0;Medio
Costa Rica;Americas;1967.0;65.0;1588717.0;4161.0;7278.0;Medio
Costa Rica;Americas;1972.0;68.0;1834796.0;5118.0;1469.0;Medio
Costa Rica;Americas;1977.0;71.0;2108457.0;5926.0;8770.0;Medio
Costa Rica;Americas;1982.0;73.0;2424367.0;5262.0;7348.0;Medio
Costa Rica;Americas;1987.0;75.0;2799811.0;5629.0;9153.0;Medio
Costa Rica;Americas;1992.0;76.0;3173216.0;6160.0;4163.0;Medio
Costa Rica;Americas;1997.0;77.0;3518107.0;6677.0;453.0;Medio
Costa Rica;Americas;2002.0;78.0;3834934.0;7723.0;4472.0;Alto
Costa Rica;Americas;2007.0;79.0;4133884.0;9645.0;614.0;Alto
Cote d'Ivoire;Africa;1952.0;40.0;2977019.0;1388.0;5947.0;Bajo
Cote d'Ivoire;Africa;1957.0;42.0;3300000.0;1500.0;8959.0;Bajo
Cote d'Ivoire;Africa;1962.0;45.0;3832408.0;1728.0;8694.0;Medio
Cote d'Ivoire;Africa;1967.0;47.0;4744870.0;2052.0;505.0;Medio
Cote d'Ivoire;Africa;1972.0;50.0;6071696.0;2378.0;2011.0;Medio
Cote d'Ivoire;Africa;1977.0;52.0;7459574.0;2517.0;7365.0;Medio
Cote d'Ivoire;Africa;1982.0;54.0;9025951.0;2602.0;7102.0;Medio
Cote d'Ivoire;Africa;1987.0;55.0;10761098.0;2156.0;9561.0;Medio
Cote d'Ivoire;Africa;1992.0;52.0;12772596.0;1648.0;738.0;Bajo
Cote d'Ivoire;Africa;1997.0;48.0;14625967.0;1786.0;2654.0;Medio
Cote d'Ivoire;Africa;2002.0;47.0;16252726.0;1648.0;8008.0;Bajo
Cote d'Ivoire;Africa;2007.0;48.0;18013409.0;1544.0;7501.0;Bajo
Croatia;Europe;1952.0;61.0;3882229.0;3119.0;2365.0;Medio
Croatia;Europe;1957.0;65.0;3991242.0;4338.0;2316.0;Medio
Croatia;Europe;1962.0;67.0;4076557.0;5477.0;8900.0;Medio
Croatia;Europe;1967.0;69.0;4174366.0;6960.0;2979.0;Alto
Croatia;Europe;1972.0;70.0;4225310.0;9164.0;901.0;Alto
Croatia;Europe;1977.0;71.0;4318673.0;11305.0;3852.0;Alto
Croatia;Europe;1982.0;70.0;4413368.0;13221.0;8218.0;Alto
Croatia;Europe;1987.0;72.0;4484310.0;13822.0;5839.0;Alto
Croatia;Europe;1992.0;73.0;4494013.0;8447.0;7949.0;Alto
Croatia;Europe;1997.0;74.0;4444595.0;9875.0;6045.0;Alto
Croatia;Europe;2002.0;75.0;4481020.0;11628.0;3890.0;Alto
Croatia;Europe;2007.0;76.0;4493312.0;14619.0;2227.0;Alto
Cuba;Americas;1952.0;59.0;6007797.0;5586.0;5388.0;Medio
Cuba;Americas;1957.0;62.0;6640752.0;6092.0;1744.0;Medio
Cuba;Americas;1962.0;65.0;7254373.0;5180.0;7559.0;Medio
Cuba;Americas;1967.0;68.0;8139332.0;5690.0;2680.0;Medio
Cuba;Americas;1972.0;71.0;8831348.0;5305.0;4453.0;Medio
Cuba;Americas;1977.0;73.0;9537988.0;6380.0;4950.0;Medio
Cuba;Americas;1982.0;74.0;9789224.0;7316.0;9181.0;Alto
Cuba;Americas;1987.0;74.0;10239839.0;7532.0;9248.0;Alto
Cuba;Americas;1992.0;74.0;10723260.0;5592.0;8440.0;Medio
Cuba;Americas;1997.0;76.0;10983007.0;5431.0;9904.0;Medio
Cuba;Americas;2002.0;77.0;11226999.0;6340.0;6467.0;Medio
Cuba;Americas;2007.0;78.0;11416987.0;8948.0;1029.0;Alto
Czech Republic;Europe;1952.0;67.0;9125183.0;6876.0;1403.0;Medio
Czech Republic;Europe;1957.0;69.0;9513758.0;8256.0;3439.0;Alto
Czech Republic;Europe;1962.0;70.0;9620282.0;10136.0;8671.0;Alto
Czech Republic;Europe;1967.0;70.0;9835109.0;11399.0;4449.0;Alto
Czech Republic;Europe;1972.0;70.0;9862158.0;13108.0;4536.0;Alto
Czech Republic;Europe;1977.0;71.0;10161915.0;14800.0;1606.0;Alto
Czech Republic;Europe;1982.0;71.0;10303704.0;15377.0;2286.0;Alto
Czech Republic;Europe;1987.0;72.0;10311597.0;16310.0;4434.0;Alto
Czech Republic;Europe;1992.0;72.0;10315702.0;14297.0;212.0;Alto
